bird_y,pipe_x,BIRD_VELOCITY,pipe_gap_y,reward
300,597,0,145,0.1
300,594,0,145,0.1
300,591,0,145,0.1
300,588,0,145,0.1
300,585,0,145,0.1
300,582,0,145,0.1
300,579,0,145,0.1
300,576,0,145,0.1
300,573,0,145,0.1
300,570,0,145,0.1
300,567,0,145,0.1
300,564,0,145,0.1
300,561,0,145,0.1
300,558,0,145,0.1
300,555,0,145,0.1
300,552,0,145,0.1
300,549,0,145,0.1
300,546,0,145,0.1
300,543,0,145,0.1
300,540,0,145,0.1
300,537,0,145,0.1
300,534,0,145,0.1
300,531,0,145,0.1
300,528,0,145,0.1
300,525,0,145,0.1
300,522,0,145,0.1
300,519,0,145,0.1
300,516,0,145,0.1
300,513,0,145,0.1
300,510,0,145,0.1
300,507,0,145,0.1
300,504,0,145,0.1
300,501,0,145,0.1
300,498,0,145,0.1
300,495,0,145,0.1
300,492,0,145,0.1
300,489,0,145,0.1
300,486,0,145,0.1
300,483,0,145,0.1
300,480,0,145,0.1
300,477,0,145,0.1
300,474,0,145,0.1
300,471,0,145,0.1
300,468,0,145,0.1
300,465,0,145,0.1
300,462,0,145,0.1
300,459,0,145,0.1
300,456,0,145,0.1
300,453,0,145,0.1
300,450,0,145,0.1
300,447,0,145,0.1
300,444,0,145,0.1
300,441,0,145,0.1
300,438,0,145,0.1
300,435,0,145,0.1
300,432,0,145,0.1
300,429,0,145,0.1
300,426,0,145,0.1
300,423,0,145,0.1
300,420,0,145,0.1
300,417,0,145,0.1
300,414,0,145,0.1
300,411,0,145,0.1
300,408,0,145,0.1
300,405,0,145,0.1
300,402,0,145,0.1
300,399,0,145,0.1
300,396,0,145,0.1
300,393,0,145,0.1
300,390,0,145,0.1
300,387,0,145,0.1
300,384,0,145,0.1
300,381,0,145,0.1
300,378,0,145,0.1
300,375,0,145,0.1
300,372,0,145,0.1
300,369,0,145,0.1
300,366,0,145,0.1
300,363,0,145,0.1
300,360,0,145,0.1
300,357,0,145,0.1
300,354,0,145,0.1
300,351,0,145,0.1
300,348,0,145,0.1
300,345,0,145,0.1
300,342,0,145,0.1
300,339,0,145,0.1
300,336,0,145,0.1
300,333,0,145,0.1
300,330,0,145,0.1
300,327,0,145,0.1
300,324,0,145,0.1
300,321,0,145,0.1
300,318,0,145,0.1
300,315,0,145,0.1
300,312,0,145,0.1
300,309,0,145,0.1
300,306,0,145,0.1
300,303,0,145,0.1
300,300,0,145,0.1
300,297,0,145,0.1
300,294,0,145,0.1
300,291,0,145,0.1
300,288,0,145,0.1
300,285,0,145,0.1
300,282,0,145,0.1
300,279,0,145,0.1
300,276,0,145,0.1
300,273,0,145,0.1
300,270,0,145,0.1
300,267,0,145,0.1
300,264,0,145,0.1
300,261,0,145,0.1
300,258,0,145,0.1
300,255,0,145,0.1
300,252,0,145,0.1
300,249,0,145,0.1
300,246,0,145,0.1
300,243,0,145,0.1
300,240,0,145,0.1
300,237,0,145,0.1
300,234,0,145,0.1
300,231,0,145,0.1
300,228,0,145,0.1
300,225,0,145,0.1
300,222,0,145,0.1
293,219,-7.5,145,0.1
286,216,-7.0,145,0.1
280,213,-6.5,145,0.1
274,210,-6.0,145,0.1
269,207,-5.5,145,0.1
264,204,-5.0,145,0.1
260,201,-4.5,145,0.1
256,198,-4.0,145,0.1
253,195,-3.5,145,0.1
250,192,-3.0,145,0.1
248,189,-2.5,145,0.1
246,186,-2.0,145,0.1
245,183,-1.5,145,0.1
244,180,-1.0,145,0.1
244,177,-0.5,145,0.1
244,174,0.0,145,0.1
245,171,0.5,145,0.1
246,168,1.0,145,0.1
248,165,1.5,145,0.1
250,162,2.0,145,0.1
253,159,2.5,145,0.1
256,156,3.0,145,0.1
260,153,3.5,145,0.1
264,150,4.0,145,0.1
257,147,-7.5,145,0.1
250,144,-7.0,145,0.1
244,141,-6.5,145,0.1
238,138,-6.0,145,0.1
233,135,-5.5,145,0.1
228,132,-5.0,145,0.1
224,129,-4.5,145,0.1
220,126,-4.0,145,0.1
217,123,-3.5,145,0.1
214,120,-3.0,145,0.1
212,117,-2.5,145,0.1
210,114,-2.0,145,0.1
209,111,-1.5,145,0.1
208,108,-1.0,145,0.1
208,105,-0.5,145,0.1
208,102,0.0,145,0.1
209,99,0.5,145,0.1
210,96,1.0,145,0.1
212,93,1.5,145,0.1
214,90,2.0,145,0.1
217,87,2.5,145,0.1
220,84,3.0,145,0.1
224,81,3.5,145,0.1
228,78,4.0,145,0.1
233,75,4.5,145,0.1
238,72,5.0,145,-1
300,597,0,55,0.1
300,594,0,55,0.1
300,591,0,55,0.1
300,588,0,55,0.1
300,585,0,55,0.1
300,582,0,55,0.1
300,579,0,55,0.1
300,576,0,55,0.1
300,573,0,55,0.1
300,570,0,55,0.1
300,567,0,55,0.1
300,564,0,55,0.1
300,561,0,55,0.1
300,558,0,55,0.1
300,555,0,55,0.1
300,552,0,55,0.1
300,549,0,55,0.1
300,546,0,55,0.1
300,543,0,55,0.1
300,540,0,55,0.1
300,537,0,55,0.1
300,534,0,55,0.1
300,531,0,55,0.1
300,528,0,55,0.1
300,525,0,55,0.1
300,522,0,55,0.1
300,519,0,55,0.1
300,516,0,55,0.1
300,513,0,55,0.1
300,510,0,55,0.1
300,507,0,55,0.1
300,504,0,55,0.1
300,501,0,55,0.1
300,498,0,55,0.1
300,495,0,55,0.1
300,492,0,55,0.1
300,489,0,55,0.1
300,486,0,55,0.1
300,483,0,55,0.1
300,480,0,55,0.1
300,477,0,55,0.1
300,474,0,55,0.1
300,471,0,55,0.1
300,468,0,55,0.1
300,465,0,55,0.1
300,462,0,55,0.1
300,459,0,55,0.1
300,456,0,55,0.1
300,453,0,55,0.1
300,450,0,55,0.1
300,447,0,55,0.1
300,444,0,55,0.1
300,441,0,55,0.1
300,438,0,55,0.1
300,435,0,55,0.1
300,432,0,55,0.1
300,429,0,55,0.1
300,426,0,55,0.1
300,423,0,55,0.1
300,420,0,55,0.1
300,417,0,55,0.1
300,414,0,55,0.1
300,411,0,55,0.1
300,408,0,55,0.1
300,405,0,55,0.1
300,402,0,55,0.1
300,399,0,55,0.1
300,396,0,55,0.1
300,393,0,55,0.1
300,390,0,55,0.1
300,387,0,55,0.1
300,384,0,55,0.1
300,381,0,55,0.1
300,378,0,55,0.1
300,375,0,55,0.1
300,372,0,55,0.1
300,369,0,55,0.1
300,366,0,55,0.1
300,363,0,55,0.1
300,360,0,55,0.1
300,357,0,55,0.1
300,354,0,55,0.1
300,351,0,55,0.1
300,348,0,55,0.1
300,345,0,55,0.1
300,342,0,55,0.1
300,339,0,55,0.1
300,336,0,55,0.1
300,333,0,55,0.1
300,330,0,55,0.1
300,327,0,55,0.1
300,324,0,55,0.1
300,321,0,55,0.1
300,318,0,55,0.1
300,315,0,55,0.1
300,312,0,55,0.1
300,309,0,55,0.1
300,306,0,55,0.1
300,303,0,55,0.1
300,300,0,55,0.1
293,297,-7.5,55,0.1
286,294,-7.0,55,0.1
280,291,-6.5,55,0.1
274,288,-6.0,55,0.1
269,285,-5.5,55,0.1
264,282,-5.0,55,0.1
260,279,-4.5,55,0.1
256,276,-4.0,55,0.1
253,273,-3.5,55,0.1
250,270,-3.0,55,0.1
248,267,-2.5,55,0.1
246,264,-2.0,55,0.1
245,261,-1.5,55,0.1
244,258,-1.0,55,0.1
244,255,-0.5,55,0.1
244,252,0.0,55,0.1
245,249,0.5,55,0.1
246,246,1.0,55,0.1
248,243,1.5,55,0.1
241,240,-7.5,55,0.1
234,237,-7.0,55,0.1
228,234,-6.5,55,0.1
222,231,-6.0,55,0.1
217,228,-5.5,55,0.1
212,225,-5.0,55,0.1
208,222,-4.5,55,0.1
204,219,-4.0,55,0.1
201,216,-3.5,55,0.1
198,213,-3.0,55,0.1
196,210,-2.5,55,0.1
194,207,-2.0,55,0.1
193,204,-1.5,55,0.1
186,201,-7.5,55,0.1
179,198,-7.0,55,0.1
173,195,-6.5,55,0.1
167,192,-6.0,55,0.1
162,189,-5.5,55,0.1
157,186,-5.0,55,0.1
153,183,-4.5,55,0.1
149,180,-4.0,55,0.1
146,177,-3.5,55,0.1
143,174,-3.0,55,0.1
141,171,-2.5,55,0.1
139,168,-2.0,55,0.1
138,165,-1.5,55,0.1
137,162,-1.0,55,0.1
137,159,-0.5,55,0.1
137,156,0.0,55,0.1
138,153,0.5,55,0.1
139,150,1.0,55,0.1
141,147,1.5,55,0.1
134,144,-7.5,55,0.1
127,141,-7.0,55,0.1
121,138,-6.5,55,0.1
115,135,-6.0,55,0.1
110,132,-5.5,55,0.1
105,129,-5.0,55,0.1
101,126,-4.5,55,0.1
97,123,-4.0,55,0.1
94,120,-3.5,55,0.1
91,117,-3.0,55,0.1
89,114,-2.5,55,0.1
87,111,-2.0,55,0.1
86,108,-1.5,55,0.1
85,105,-1.0,55,0.1
85,102,-0.5,55,0.1
85,99,0.0,55,0.1
86,96,0.5,55,0.1
87,93,1.0,55,0.1
89,90,1.5,55,0.1
91,87,2.0,55,0.1
94,84,2.5,55,0.1
97,81,3.0,55,0.1
101,78,3.5,55,0.1
105,75,4.0,55,0.1
110,72,4.5,55,0.1
115,69,5.0,55,0.1
121,66,5.5,55,0.1
127,63,6.0,55,0.1
134,60,6.5,55,0.1
141,57,7.0,55,0.1
134,54,-7.5,55,0.1
127,51,-7.0,55,0.1
121,48,-6.5,55,0.1
115,45,-6.0,55,0.1
110,42,-5.5,55,0.1
105,39,-5.0,55,0.1
101,36,-4.5,55,0.1
97,33,-4.0,55,0.1
94,30,-3.5,55,0.1
91,27,-3.0,55,0.1
89,24,-2.5,55,0.1
87,21,-2.0,55,0.1
86,18,-1.5,55,0.1
85,15,-1.0,55,0.1
85,12,-0.5,55,0.1
85,9,0.0,55,0.1
86,6,0.5,55,0.1
87,3,1.0,55,0.1
89,0,1.5,55,0.1
91,-3,2.0,55,0.1
94,-6,2.5,55,0.1
97,-9,3.0,55,0.1
101,-12,3.5,55,0.1
105,-15,4.0,55,0.1
110,-18,4.5,55,0.1
115,-21,5.0,55,0.1
121,-24,5.5,55,0.1
127,-27,6.0,55,0.1
134,-30,6.5,55,0.1
141,-33,7.0,55,0.1
149,-36,7.5,55,0.1
157,-39,8.0,55,0.1
166,-42,8.5,55,0.1
175,-45,9.0,55,0.1
185,-48,9.5,55,0.1
195,300,10.0,89,0.1
188,297,-7.5,89,0.1
181,294,-7.0,89,0.1
175,291,-6.5,89,0.1
169,288,-6.0,89,0.1
164,285,-5.5,89,0.1
159,282,-5.0,89,0.1
155,279,-4.5,89,0.1
151,276,-4.0,89,0.1
148,273,-3.5,89,0.1
145,270,-3.0,89,0.1
143,267,-2.5,89,0.1
141,264,-2.0,89,0.1
140,261,-1.5,89,0.1
139,258,-1.0,89,0.1
139,255,-0.5,89,0.1
139,252,0.0,89,0.1
140,249,0.5,89,0.1
141,246,1.0,89,0.1
143,243,1.5,89,0.1
145,240,2.0,89,0.1
148,237,2.5,89,0.1
151,234,3.0,89,0.1
155,231,3.5,89,0.1
159,228,4.0,89,0.1
164,225,4.5,89,0.1
169,222,5.0,89,0.1
175,219,5.5,89,0.1
181,216,6.0,89,0.1
174,213,-7.5,89,0.1
167,210,-7.0,89,0.1
161,207,-6.5,89,0.1
155,204,-6.0,89,0.1
150,201,-5.5,89,0.1
145,198,-5.0,89,0.1
141,195,-4.5,89,0.1
137,192,-4.0,89,0.1
134,189,-3.5,89,0.1
131,186,-3.0,89,0.1
129,183,-2.5,89,0.1
127,180,-2.0,89,0.1
126,177,-1.5,89,0.1
125,174,-1.0,89,0.1
125,171,-0.5,89,0.1
125,168,0.0,89,0.1
126,165,0.5,89,0.1
127,162,1.0,89,0.1
129,159,1.5,89,0.1
131,156,2.0,89,0.1
134,153,2.5,89,0.1
137,150,3.0,89,0.1
141,147,3.5,89,0.1
145,144,4.0,89,0.1
150,141,4.5,89,0.1
155,138,5.0,89,0.1
161,135,5.5,89,0.1
167,132,6.0,89,0.1
174,129,6.5,89,0.1
167,126,-7.5,89,0.1
160,123,-7.0,89,0.1
154,120,-6.5,89,0.1
148,117,-6.0,89,0.1
143,114,-5.5,89,0.1
138,111,-5.0,89,0.1
134,108,-4.5,89,0.1
130,105,-4.0,89,0.1
127,102,-3.5,89,0.1
124,99,-3.0,89,0.1
122,96,-2.5,89,0.1
120,93,-2.0,89,0.1
119,90,-1.5,89,0.1
118,87,-1.0,89,0.1
118,84,-0.5,89,0.1
118,81,0.0,89,0.1
119,78,0.5,89,0.1
120,75,1.0,89,0.1
122,72,1.5,89,0.1
124,69,2.0,89,0.1
127,66,2.5,89,0.1
130,63,3.0,89,0.1
134,60,3.5,89,0.1
138,57,4.0,89,0.1
143,54,4.5,89,0.1
136,51,-7.5,89,0.1
129,48,-7.0,89,0.1
123,45,-6.5,89,0.1
117,42,-6.0,89,0.1
112,39,-5.5,89,0.1
107,36,-5.0,89,0.1
103,33,-4.5,89,0.1
99,30,-4.0,89,0.1
96,27,-3.5,89,0.1
93,24,-3.0,89,0.1
91,21,-2.5,89,0.1
89,18,-2.0,89,0.1
88,15,-1.5,89,-1
300,597,0,359,0.1
300,594,0,359,0.1
300,591,0,359,0.1
300,588,0,359,0.1
300,585,0,359,0.1
300,582,0,359,0.1
300,579,0,359,0.1
300,576,0,359,0.1
300,573,0,359,0.1
300,570,0,359,0.1
300,567,0,359,0.1
300,564,0,359,0.1
300,561,0,359,0.1
300,558,0,359,0.1
300,555,0,359,0.1
300,552,0,359,0.1
300,549,0,359,0.1
300,546,0,359,0.1
300,543,0,359,0.1
300,540,0,359,0.1
300,537,0,359,0.1
300,534,0,359,0.1
293,531,-7.5,359,0.1
286,528,-7.0,359,0.1
280,525,-6.5,359,0.1
274,522,-6.0,359,0.1
269,519,-5.5,359,0.1
264,516,-5.0,359,0.1
260,513,-4.5,359,0.1
256,510,-4.0,359,0.1
253,507,-3.5,359,0.1
250,504,-3.0,359,0.1
248,501,-2.5,359,0.1
246,498,-2.0,359,0.1
245,495,-1.5,359,0.1
244,492,-1.0,359,0.1
244,489,-0.5,359,0.1
244,486,0.0,359,0.1
245,483,0.5,359,0.1
246,480,1.0,359,0.1
248,477,1.5,359,0.1
250,474,2.0,359,0.1
253,471,2.5,359,0.1
256,468,3.0,359,0.1
260,465,3.5,359,0.1
264,462,4.0,359,0.1
269,459,4.5,359,0.1
274,456,5.0,359,0.1
280,453,5.5,359,0.1
286,450,6.0,359,0.1
293,447,6.5,359,0.1
300,444,7.0,359,0.1
308,441,7.5,359,0.1
316,438,8.0,359,0.1
325,435,8.5,359,0.1
334,432,9.0,359,0.1
344,429,9.5,359,0.1
354,426,10.0,359,0.1
365,423,10.5,359,0.1
376,420,11.0,359,0.1
388,417,11.5,359,0.1
400,414,12.0,359,0.1
393,411,-7.5,359,0.1
386,408,-7.0,359,0.1
380,405,-6.5,359,0.1
374,402,-6.0,359,0.1
369,399,-5.5,359,0.1
364,396,-5.0,359,0.1
360,393,-4.5,359,0.1
356,390,-4.0,359,0.1
353,387,-3.5,359,0.1
350,384,-3.0,359,0.1
348,381,-2.5,359,0.1
346,378,-2.0,359,0.1
345,375,-1.5,359,0.1
344,372,-1.0,359,0.1
344,369,-0.5,359,0.1
344,366,0.0,359,0.1
345,363,0.5,359,0.1
346,360,1.0,359,0.1
348,357,1.5,359,0.1
350,354,2.0,359,0.1
353,351,2.5,359,0.1
356,348,3.0,359,0.1
360,345,3.5,359,0.1
364,342,4.0,359,0.1
369,339,4.5,359,0.1
374,336,5.0,359,0.1
380,333,5.5,359,0.1
386,330,6.0,359,0.1
393,327,6.5,359,0.1
400,324,7.0,359,0.1
408,321,7.5,359,0.1
401,318,-7.5,359,0.1
394,315,-7.0,359,0.1
388,312,-6.5,359,0.1
382,309,-6.0,359,0.1
377,306,-5.5,359,0.1
372,303,-5.0,359,0.1
368,300,-4.5,359,0.1
364,297,-4.0,359,0.1
361,294,-3.5,359,0.1
358,291,-3.0,359,0.1
356,288,-2.5,359,0.1
354,285,-2.0,359,0.1
353,282,-1.5,359,0.1
352,279,-1.0,359,0.1
352,276,-0.5,359,0.1
352,273,0.0,359,0.1
353,270,0.5,359,0.1
354,267,1.0,359,0.1
356,264,1.5,359,0.1
358,261,2.0,359,0.1
361,258,2.5,359,0.1
364,255,3.0,359,0.1
368,252,3.5,359,0.1
372,249,4.0,359,0.1
377,246,4.5,359,0.1
382,243,5.0,359,0.1
388,240,5.5,359,0.1
394,237,6.0,359,0.1
401,234,6.5,359,0.1
408,231,7.0,359,0.1
416,228,7.5,359,0.1
424,225,8.0,359,0.1
433,222,8.5,359,0.1
426,219,-7.5,359,0.1
419,216,-7.0,359,0.1
413,213,-6.5,359,0.1
407,210,-6.0,359,0.1
402,207,-5.5,359,0.1
397,204,-5.0,359,0.1
393,201,-4.5,359,0.1
389,198,-4.0,359,0.1
386,195,-3.5,359,0.1
383,192,-3.0,359,0.1
381,189,-2.5,359,0.1
379,186,-2.0,359,0.1
378,183,-1.5,359,0.1
377,180,-1.0,359,0.1
377,177,-0.5,359,0.1
377,174,0.0,359,0.1
378,171,0.5,359,0.1
379,168,1.0,359,0.1
381,165,1.5,359,0.1
383,162,2.0,359,0.1
386,159,2.5,359,0.1
389,156,3.0,359,0.1
393,153,3.5,359,0.1
397,150,4.0,359,0.1
402,147,4.5,359,0.1
407,144,5.0,359,0.1
413,141,5.5,359,0.1
419,138,6.0,359,0.1
412,135,-7.5,359,0.1
405,132,-7.0,359,0.1
399,129,-6.5,359,0.1
393,126,-6.0,359,0.1
388,123,-5.5,359,0.1
383,120,-5.0,359,0.1
379,117,-4.5,359,0.1
375,114,-4.0,359,0.1
372,111,-3.5,359,0.1
365,108,-7.5,359,0.1
358,105,-7.0,359,0.1
352,102,-6.5,359,0.1
346,99,-6.0,359,0.1
341,96,-5.5,359,0.1
336,93,-5.0,359,0.1
332,90,-4.5,359,0.1
328,87,-4.0,359,0.1
325,84,-3.5,359,0.1
322,81,-3.0,359,0.1
320,78,-2.5,359,-1
300,597,0,88,0.1
300,594,0,88,0.1
300,591,0,88,0.1
300,588,0,88,0.1
300,585,0,88,0.1
300,582,0,88,0.1
300,579,0,88,0.1
300,576,0,88,0.1
300,573,0,88,0.1
300,570,0,88,0.1
300,567,0,88,0.1
300,564,0,88,0.1
300,561,0,88,0.1
300,558,0,88,0.1
300,555,0,88,0.1
300,552,0,88,0.1
300,549,0,88,0.1
300,546,0,88,0.1
300,543,0,88,0.1
300,540,0,88,0.1
300,537,0,88,0.1
300,534,0,88,0.1
300,531,0,88,0.1
300,528,0,88,0.1
300,525,0,88,0.1
300,522,0,88,0.1
293,519,-7.5,88,0.1
286,516,-7.0,88,0.1
280,513,-6.5,88,0.1
274,510,-6.0,88,0.1
269,507,-5.5,88,0.1
264,504,-5.0,88,0.1
260,501,-4.5,88,0.1
256,498,-4.0,88,0.1
253,495,-3.5,88,0.1
250,492,-3.0,88,0.1
248,489,-2.5,88,0.1
246,486,-2.0,88,0.1
245,483,-1.5,88,0.1
244,480,-1.0,88,0.1
244,477,-0.5,88,0.1
244,474,0.0,88,0.1
245,471,0.5,88,0.1
246,468,1.0,88,0.1
248,465,1.5,88,0.1
250,462,2.0,88,0.1
253,459,2.5,88,0.1
256,456,3.0,88,0.1
260,453,3.5,88,0.1
264,450,4.0,88,0.1
269,447,4.5,88,0.1
274,444,5.0,88,0.1
280,441,5.5,88,0.1
286,438,6.0,88,0.1
293,435,6.5,88,0.1
300,432,7.0,88,0.1
308,429,7.5,88,0.1
316,426,8.0,88,0.1
325,423,8.5,88,0.1
334,420,9.0,88,0.1
344,417,9.5,88,0.1
354,414,10.0,88,0.1
365,411,10.5,88,0.1
376,408,11.0,88,0.1
388,405,11.5,88,0.1
400,402,12.0,88,0.1
413,399,12.5,88,0.1
426,396,13.0,88,0.1
440,393,13.5,88,0.1
454,390,14.0,88,0.1
469,387,14.5,88,0.1
484,384,15.0,88,0.1
500,381,15.5,88,0.1
516,378,16.0,88,0.1
533,375,16.5,88,0.1
550,372,17.0,88,0.1
568,369,17.5,88,0.1
586,366,18.0,88,0.1
605,363,18.5,88,0.1
624,360,19.0,88,0.1
644,357,19.5,88,0.1
664,354,20.0,88,0.1
685,351,20.5,88,0.1
706,348,21.0,88,0.1
728,345,21.5,88,0.1
750,342,22.0,88,0.1
773,339,22.5,88,0.1
796,336,23.0,88,0.1
820,333,23.5,88,0.1
844,330,24.0,88,0.1
869,327,24.5,88,0.1
894,324,25.0,88,0.1
920,321,25.5,88,0.1
946,318,26.0,88,0.1
973,315,26.5,88,0.1
1000,312,27.0,88,0.1
1028,309,27.5,88,0.1
1056,306,28.0,88,0.1
1049,303,-7.5,88,0.1
1042,300,-7.0,88,0.1
1036,297,-6.5,88,0.1
1030,294,-6.0,88,0.1
1025,291,-5.5,88,0.1
1020,288,-5.0,88,0.1
1016,285,-4.5,88,0.1
1012,282,-4.0,88,0.1
1009,279,-3.5,88,0.1
1006,276,-3.0,88,0.1
1004,273,-2.5,88,0.1
1002,270,-2.0,88,0.1
1001,267,-1.5,88,0.1
1000,264,-1.0,88,0.1
1000,261,-0.5,88,0.1
1000,258,0.0,88,0.1
1001,255,0.5,88,0.1
1002,252,1.0,88,0.1
1004,249,1.5,88,0.1
1006,246,2.0,88,0.1
999,243,-7.5,88,0.1
992,240,-7.0,88,0.1
986,237,-6.5,88,0.1
980,234,-6.0,88,0.1
975,231,-5.5,88,0.1
968,228,-7.5,88,0.1
961,225,-7.0,88,0.1
955,222,-6.5,88,0.1
949,219,-6.0,88,0.1
944,216,-5.5,88,0.1
937,213,-7.5,88,0.1
930,210,-7.0,88,0.1
924,207,-6.5,88,0.1
918,204,-6.0,88,0.1
913,201,-5.5,88,0.1
906,198,-7.5,88,0.1
899,195,-7.0,88,0.1
893,192,-6.5,88,0.1
887,189,-6.0,88,0.1
882,186,-5.5,88,0.1
877,183,-5.0,88,0.1
870,180,-7.5,88,0.1
863,177,-7.0,88,0.1
857,174,-6.5,88,0.1
851,171,-6.0,88,0.1
846,168,-5.5,88,0.1
841,165,-5.0,88,0.1
834,162,-7.5,88,0.1
827,159,-7.0,88,0.1
821,156,-6.5,88,0.1
815,153,-6.0,88,0.1
810,150,-5.5,88,0.1
803,147,-7.5,88,0.1
796,144,-7.0,88,0.1
790,141,-6.5,88,0.1
784,138,-6.0,88,0.1
779,135,-5.5,88,0.1
772,132,-7.5,88,0.1
765,129,-7.0,88,0.1
759,126,-6.5,88,0.1
753,123,-6.0,88,0.1
748,120,-5.5,88,0.1
741,117,-7.5,88,0.1
734,114,-7.0,88,0.1
728,111,-6.5,88,0.1
722,108,-6.0,88,0.1
717,105,-5.5,88,0.1
710,102,-7.5,88,0.1
703,99,-7.0,88,0.1
697,96,-6.5,88,0.1
691,93,-6.0,88,0.1
686,90,-5.5,88,0.1
679,87,-7.5,88,0.1
672,84,-7.0,88,0.1
666,81,-6.5,88,0.1
660,78,-6.0,88,0.1
655,75,-5.5,88,0.1
648,72,-7.5,88,0.1
641,69,-7.0,88,0.1
635,66,-6.5,88,0.1
629,63,-6.0,88,0.1
624,60,-5.5,88,0.1
619,57,-5.0,88,0.1
612,54,-7.5,88,0.1
605,51,-7.0,88,0.1
599,48,-6.5,88,-1
300,597,0,83,0.1
300,594,0,83,0.1
300,591,0,83,0.1
300,588,0,83,0.1
